Name,Status,Price,Stars,Ratings,URL,UPC
🔥 Nintendo Switch 32GB Game Console w/2 Gray JoyCon V2 Newest Model FedEx 2-Day,Brand New,$368.75,5.0,0,https://www.ebay.com/itm/303520708310?epid=25034355190&hash=item46ab3e76d6:g:aZgAAOSw0rVez9bN,
🔥 NEW Nintendo Switch Console Mario Red & Blue Edition Bundle 🔥,Brand New,$275.00,Tim,0,https://www.ebay.com/itm/174754280240?hash=item28b02ab330:g:EEEAAOSwxz9gWfEX,
"Used Nintendo Switch 32GB Neon Red/Neon Blue Console W/ Case, 2 Games, Etc.",Pre-Owned,$290.00,4.5,0,https://www.ebay.com/itm/224450361913?epid=16029037217&hash=item344248ba39:g:2BYAAOSwTWFgkbQb,
Nintendo Switch Console Let’s Go Pikachu! + Poke Ball Plus Edition,Brand New,$463.00,5.0,0,https://www.ebay.com/itm/324601842637?epid=20025867439&hash=item4b93c70bcd:g:NMMAAOSw7U5gjzMI,
"Nintendo Switch 32GB Console with Gray Joy‑Con, Pro controller,  Case and 1 Game",Pre-Owned,$247.50,5.0,0,https://www.ebay.com/itm/133750034180?epid=25034355190&hash=item1f241f8f04:g:-BQAAOSwjJZgkLAq,
"Used Nintendo Switch Console, 3 Games, Pro Controller, Smash Bros, Zelda, Case",Pre-Owned,$182.50,4.5,0,https://www.ebay.com/itm/224450361954?epid=16029037217&hash=item344248ba62:g:P8MAAOSwYRRgkXO1,
Nintendo HAC-001 Switch Handheld Game Console Tablet Only TESTED WORKING,Pre-Owned,$107.50,Tim,0,https://www.ebay.com/itm/194080341248?hash=item2d3016fd00:g:X9kAAOSwdEhgbMLM,
Nintendo Switch Handheld Gaming Console Black Joy-Cons 32GB - SH1324,Open Box,$299.99,5.0,0,https://www.ebay.com/itm/333989604115?epid=25034355190&hash=item4dc354eb13:g:NhsAAOSwhyNgkah0,
Nintendo Switch Animal Crossing: New Horizons Console Bundle + Game,Brand New,$459.69,Pre,0,https://www.ebay.com/itm/193787437287?hash=item2d1ea1a0e7:g:PIgAAOSwOQ9fzr2G,
Nintendo Switch Console Red/Blue JoyCon+Officially Carrying Case+FREE SHIPPING,Brand New,$300.00,Tim,0,https://www.ebay.com/itm/144020131279?hash=item218844cdcf:g:3ZcAAOSwocZgdjnQ,
Nintendo Switch 32GB Neon Red/Neon Blue Console with Carrying Case,Brand New,$348.00,4.5,0,https://www.ebay.com/itm/174565250498?epid=16029037217&hash=item28a4e655c2:g:IB8AAOSwS4df46Lu,
Nintendo Switch 32GB Neon Red/Neon Blue Console,Brand New,$276.00,4.5,0,https://www.ebay.com/itm/353472538088?epid=16029037217&hash=item524c9ae5e8:g:ukwAAOSwvPVgh4BB,
Nintendo Switch Lite Console with game **READ DESCRIPTION**,Pre-Owned,$195.00,Wat,0,https://www.ebay.com/itm/194101106884?hash=item2d3153d8c4:g:xmsAAOSwUhtgkqJX,
Nintendo Switch Game Console Bundle with Joy-Cons (Updated HAC-001(-01) Model),Pre-Owned,$214.95,Tim,0,https://www.ebay.com/itm/254960800036?hash=item3b5cd91124:g:I9YAAOSwu8pgivp3,
Nintendo Switch 32GB Console with Chrome Gold color. Must see! UNIQUE!,Pre-Owned,$250.00,Tim,0,https://www.ebay.com/itm/174757629630?hash=item28b05dcebe:g:f8IAAOSwzPxgj3sw,
